NOC,Bronze_1896,Bronze_1900,Bronze_1904,Bronze_1908,Bronze_1912,Bronze_1920,Bronze_1924,Bronze_1928,Bronze_1932,Bronze_1936,Bronze_1948,Bronze_1952,Bronze_1956,Bronze_1960,Bronze_1964,Bronze_1968,Bronze_1972,Bronze_1976,Bronze_1980,Bronze_1984,Bronze_1988,Bronze_1992,Bronze_1996,Bronze_2000,Bronze_2004,Bronze_2008,Bronze_2012,Bronze_2016,Bronze_2020,Bronze_2024,Gold_1896,Gold_1900,Gold_1904,Gold_1908,Gold_1912,Gold_1920,Gold_1924,Gold_1928,Gold_1932,Gold_1936,Gold_1948,Gold_1952,Gold_1956,Gold_1960,Gold_1964,Gold_1968,Gold_1972,Gold_1976,Gold_1980,Gold_1984,Gold_1988,Gold_1992,Gold_1996,Gold_2000,Gold_2004,Gold_2008,Gold_2012,Gold_2016,Gold_2020,Gold_2024,Silver_1896,Silver_1900,Silver_1904,Silver_1908,Silver_1912,Silver_1920,Silver_1924,Silver_1928,Silver_1932,Silver_1936,Silver_1948,Silver_1952,Silver_1956,Silver_1960,Silver_1964,Silver_1968,Silver_1972,Silver_1976,Silver_1980,Silver_1984,Silver_1988,Silver_1992,Silver_1996,Silver_2000,Silver_2004,Silver_2008,Silver_2012,Silver_2016,Silver_2020,Silver_2024
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0
Argentina,0,0,0,0,0,0,2,1,0,3,1,2,1,1,0,2,0,0,0,0,1,1,1,2,4,4,2,0,2,1,0,0,0,0,0,0,1,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,1,0,0,0,0,0,0,3,3,1,2,3,2,1,1,1,0,1,0,0,0,1,0,2,2,0,0,1,1,1,1
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,3
Australasia,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,3,1,0,0,1,2,1,1,1,5,3,14,6,10,5,2,4,5,12,5,11,23,17,17,17,12,10,22,16,2,2,0,0,0,0,3,1,3,0,2,6,13,8,6,5,8,0,2,4,3,7,9,16,17,14,8,8,17,18,0,0,3,0,0,2,1,2,1,0,6,2,8,8,2,7,7,1,2,8,6,9,9,25,16,15,15,11,7,19
Austria,2,3,1,1,2,0,1,1,3,5,3,1,2,0,0,2,2,1,1,1,0,0,2,0,1,2,0,1,5,3,2,0,1,0,0,0,0,2,1,5,1,0,0,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,1,2,1,3,1,0,2,0,3,0,1,7,0,1,0,1,0,2,1,0,2,1,0,2,1,1,4,1,0,0,1,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7,3,2
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,6,7,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,4,5,4,3,0
Belgium,0,4,0,2,3,11,3,2,1,3,3,0,0,2,1,1,0,3,0,2,2,2,2,3,2,0,2,2,3,6,0,6,0,1,2,14,3,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,2,0,1,2,0,2,3,3,0,7,0,5,1,11,7,1,0,0,2,2,2,2,0,1,2,3,0,1,0,1,2,2,0,0,1,2,1,1
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohemia,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Brazil,0,0,0,0,0,1,0,0,0,0,1,2,0,2,1,2,2,2,2,2,3,0,9,6,3,10,9,6,8,10,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,2,3,0,5,3,3,7,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,1,3,6,2,4,5,6,6,7
British West Indies,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,5,7,17,0,13,6,5,2,9,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,6,6,8,0,10,3,3,5,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,10,9,16,0,12,7,7,6,1,1,2,1,1,1
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,1,1,10,3,3,1,7,9,5,2,0,3,0,1,1,3,6,0,16,5,7,8,8,3,8,10,15,10,11,0,1,4,3,3,3,0,4,2,1,0,1,2,0,1,1,0,0,0,10,3,7,3,3,3,3,2,4,7,9,0,0,1,3,2,3,3,4,5,3,1,2,1,1,2,3,2,5,0,18,2,4,11,3,6,9,6,3,7,7
Ceylon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,16,12,14,14,30,22,26,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,16,16,28,32,48,39,26,38,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,22,22,16,17,22,31,18,32,27
Chinese Taipei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,2,1,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,4,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,1,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,2,4,3
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,3,3,2
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,11,8,7,11,17,7,4,5,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,14,9,11,9,3,5,5,7,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,4,7,0,0,6,8,11,7,10,3,2,3,1
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,1,3,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,4,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,2,4,0
Czechoslovakia,0,0,0,0,0,2,5,2,2,1,3,3,1,3,3,4,2,4,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,6,7,1,3,5,7,2,2,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,5,2,3,4,2,6,2,4,2,3,0,3,2,0,0,0,0,0,0,0,0
Denmark,3,2,0,3,5,1,2,2,3,3,8,3,1,1,3,3,0,2,2,3,1,4,1,1,5,3,3,7,4,5,1,1,0,0,1,3,2,3,0,0,5,2,1,2,2,1,1,1,2,0,2,1,4,2,2,2,2,2,3,2,2,3,0,2,6,9,5,1,5,2,7,1,2,3,1,4,0,0,1,3,1,1,1,3,1,2,4,6,4,2
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
East Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,25,42,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,40,47,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,25,37,0,35,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
Egypt,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,3,4,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,1,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,3,2,1,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,2,4,2,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,2,2,1,3
FR Yugoslavia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Finland,0,0,0,3,9,9,10,9,12,6,5,13,11,3,2,1,4,0,4,6,2,2,1,1,0,2,1,1,2,0,0,0,0,1,9,15,14,8,5,8,8,6,3,1,3,1,3,4,3,4,1,1,1,2,0,1,0,0,0,0,0,0,0,1,8,10,13,8,8,6,7,3,1,1,0,2,1,2,1,2,1,2,2,1,2,1,2,0,0,0
Formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2,37,0,9,3,13,10,5,4,6,13,6,6,3,6,5,7,4,3,16,6,16,15,11,13,20,13,14,11,22,5,27,0,5,7,9,13,6,11,7,10,6,4,0,1,7,2,2,6,5,6,8,15,13,11,7,11,10,10,16,4,39,1,5,4,19,15,10,5,6,6,6,4,2,8,3,4,3,5,7,4,5,7,14,9,16,11,18,12,26
