Rank,NOC,Gold,Silver,Bronze,Total,Year,player0_num,player1_num,player2_num
16,SWE,2,11,6,19,1984,178,54,22
17,MEX,2,3,1,6,1984,141,12,2
18,MAR,2,0,0,2,1984,33,1,1
21,BEL,1,1,2,4,1984,77,8,1
22,AUT,1,1,1,3,1984,120,9,1
23,KEN,1,0,2,3,1984,63,4,0
23,PRT,1,0,2,3,1984,0,0,0
26,CHE,0,4,4,8,1984,0,0,0
27,DNK,0,3,3,6,1984,0,0,0
28,JAM,0,1,2,3,1984,53,15,7
28,NOR,0,1,2,3,1984,119,10,3
30,GRC,0,1,1,2,1984,0,0,0
33,COL,0,1,0,1,1984,47,1,0
33,IRL,0,1,0,1,1984,53,2,0
40,,0,0,3,3,1984,0,0,0
43,,0,0,1,1,1984,0,0,0
3,USA,36,31,27,94,1988,383,191,141
4,,12,10,11,33,1988,0,0,0
6,HUN,11,6,6,23,1988,221,63,31
7,BGR,10,12,13,35,1988,0,0,0
8,ROU,7,11,6,24,1988,62,64,46
9,FRA,6,4,6,16,1988,328,62,23
10,ITA,6,4,4,14,1988,267,57,50
11,CHN,5,11,12,28,1988,291,91,45
12,GBR,5,10,9,24,1988,341,93,38
13,KEN,5,2,2,9,1988,76,12,0
14,JPN,4,3,7,14,1988,331,69,12
15,AUS,3,6,5,14,1988,256,58,25
18,NZL,3,2,8,13,1988,68,29,15
19,CAN,3,2,5,10,1988,386,89,28
20,POL,2,5,9,16,1988,133,54,5
21,NOR,2,3,0,5,1988,50,25,4
22,NLD,2,2,5,9,1988,0,0,0
23,DNK,2,1,1,4,1988,0,0,0
25,FIN,1,1,2,4,1988,79,18,4
27,,1,1,0,2,1988,0,0,0
28,MAR,1,0,2,3,1988,24,3,2
29,AUT,1,0,0,1,1988,90,5,1
29,PRT,1,0,0,1,1988,0,0,0
32,SWE,0,4,7,11,1988,178,48,25
33,CHE,0,2,2,4,1988,0,0,0
34,JAM,0,2,0,2,1988,27,17,5
35,ARG,0,1,1,2,1988,116,17,1
36,IDN,0,1,0,1,1988,0,0,0
36,,0,1,0,1,1988,0,0,0
44,BEL,0,0,2,2,1988,78,6,1
44,MEX,0,0,2,2,1988,127,17,0
46,COL,0,0,1,1,1988,51,6,0
46,GRC,0,0,1,1,1988,0,0,0
2,USA,37,34,37,108,1992,362,203,169
3,DEU,33,21,28,82,1992,0,0,0
4,CHN,16,22,16,54,1992,222,113,59
7,,12,5,12,29,1992,0,0,0
8,HUN,11,12,7,30,1992,251,47,53
9,FRA,8,5,16,29,1992,356,104,26
10,AUS,7,9,11,27,1992,254,79,57
11,CAN,7,4,7,18,1992,353,62,30
12,ITA,6,5,8,19,1992,317,62,52
13,GBR,5,3,12,20,1992,382,95,35
14,ROU,4,6,8,18,1992,174,90,42
16,,4,0,5,9,1992,0,0,0
17,JPN,3,8,11,22,1992,291,91,10
18,BGR,3,7,6,16,1992,0,0,0
19,POL,3,6,10,19,1992,183,71,9
20,NLD,2,6,7,15,1992,0,0,0
21,KEN,2,4,2,8,1992,43,12,0
22,NOR,2,4,1,7,1992,84,26,4
23,,2,2,2,6,1992,0,0,0
24,IDN,2,2,1,5,1992,0,0,0
26,GRC,2,0,0,2,1992,0,0,0
27,SWE,1,7,4,12,1992,188,37,27
28,NZL,1,4,5,10,1992,137,17,21
29,FIN,1,2,2,5,1992,103,23,4
30,DNK,1,1,4,6,1992,0,0,0
31,MAR,1,1,1,3,1992,40,5,0
32,IRL,1,1,0,2,1992,64,10,3
37,CHE,1,0,0,1,1992,0,0,0
38,JAM,0,3,1,4,1992,28,15,8
41,AUT,0,2,0,2,1992,106,19,2
41,ZAF,0,2,0,2,1992,0,0,0
44,BEL,0,1,2,3,1992,89,13,1
44,HRV,0,1,2,3,1992,0,0,0
44,,0,1,2,3,1992,0,0,0
48,ISR,0,1,1,2,1992,42,2,0
49,,0,1,0,1,1992,0,0,0
49,MEX,0,1,0,1,1992,128,12,0
54,ARG,0,0,1,1,1992,104,6,1
54,COL,0,0,1,1,1992,59,2,0
1,USA,44,32,25,101,1996,421,239,179
3,DEU,20,18,27,65,1996,0,0,0
4,CHN,16,22,12,50,1996,221,162,55
5,FRA,15,7,15,37,1996,337,86,30
6,ITA,13,10,12,35,1996,331,69,60
7,AUS,9,9,23,41,1996,341,119,90
10,,7,15,5,27,1996,0,0,0
11,POL,7,5,5,17,1996,149,49,9
12,HUN,7,4,10,21,1996,214,52,49
14,ROU,4,7,9,20,1996,176,59,49
15,NLD,4,5,10,19,1996,0,0,0
16,GRC,4,4,0,8,1996,0,0,0
18,CHE,4,3,0,7,1996,0,0,0
19,DNK,4,1,1,6,1996,0,0,0
19,,4,1,1,6,1996,0,0,0
21,CAN,3,11,8,22,1996,324,70,14
22,BGR,3,7,5,15,1996,0,0,0
23,JPN,3,6,5,14,1996,352,88,8
24,KAZ,3,4,4,11,1996,122,14,6
26,NZL,3,2,1,6,1996,100,14,15
27,ZAF,3,1,1,5,1996,0,0,0
28,IRL,3,0,1,4,1996,91,4,4
29,SWE,2,4,2,8,1996,157,40,36
30,NOR,2,2,3,7,1996,74,31,11
31,BEL,2,2,2,6,1996,65,16,0
33,,2,1,2,5,1996,0,0,0
36,GBR,1,8,6,15,1996,287,75,29
38,KEN,1,4,3,8,1996,40,14,0
39,JAM,1,3,2,6,1996,34,24,11
40,FIN,1,2,1,4,1996,82,20,3
41,IDN,1,1,2,4,1996,0,0,0
43,,1,1,1,3,1996,0,0,0
43,SVK,1,1,1,3,1996,84,12,2
45,HRV,1,1,0,2,1996,0,0,0
47,PRT,1,0,1,2,1996,0,0,0
54,ARG,0,2,1,3,1996,179,36,6
57,AUT,0,1,2,3,1996,82,10,0
61,AZE,0,1,0,1,1996,19,4,1
61,,0,1,0,1,1996,0,0,0
68,GEO,0,0,2,2,1996,35,5,2
68,MAR,0,0,2,2,1996,31,6,1
71,IND,0,0,1,1,1996,52,2,0
71,ISR,0,0,1,1,1996,35,2,1
71,MEX,0,0,1,1,1996,103,8,0
1,USA,37,24,32,93,2000,353,242,169
3,CHN,28,16,14,58,2000,212,128,74
4,AUS,16,25,17,58,2000,507,161,120
5,DEU,13,17,26,56,2000,0,0,0
6,FRA,13,14,11,38,2000,316,111,43
7,ITA,13,8,13,34,2000,311,92,54
8,NLD,12,9,4,25,2000,0,0,0
10,GBR,11,10,7,28,2000,291,85,39
11,ROU,11,6,9,26,2000,134,55,63
12,,8,10,10,28,2000,0,0,0
13,HUN,8,6,3,17,2000,149,52,37
14,POL,6,5,3,14,2000,184,38,18
15,JPN,5,8,5,18,2000,277,74,12
16,BGR,5,6,2,13,2000,0,0,0
17,GRC,4,6,3,13,2000,0,0,0
18,SWE,4,5,3,12,2000,137,35,26
19,NOR,4,3,3,10,2000,60,42,13
22,KAZ,3,4,0,7,2000,138,15,5
24,CAN,3,3,8,14,2000,347,65,10
26,,3,0,2,5,2000,0,0,0
27,,3,0,1,4,2000,0,0,0
29,KEN,2,3,2,7,2000,51,6,2
30,DNK,2,3,1,6,2000,0,0,0
31,FIN,2,1,1,4,2000,76,12,0
32,AUT,2,1,0,3,2000,101,11,2
34,AZE,2,0,1,3,2000,25,5,2
37,CHE,1,6,2,9,2000,0,0,0
38,IDN,1,3,2,6,2000,0,0,0
39,SVK,1,3,1,5,2000,112,14,6
40,MEX,1,2,3,6,2000,83,15,0
46,NZL,1,0,3,4,2000,161,8,8
49,HRV,1,0,1,2,2000,0,0,0
50,COL,1,0,0,1,2000,50,4,0
54,JAM,0,6,3,9,2000,31,22,12
55,BEL,0,2,3,5,2000,78,16,0
55,ZAF,0,2,3,5,2000,0,0,0
57,ARG,0,2,2,4,2000,133,24,8
58,,0,1,4,5,2000,0,0,0
58,MAR,0,1,4,5,2000,49,5,1
60,,0,1,3,4,2000,0,0,0
64,IRL,0,1,0,1,2000,72,4,0
68,GEO,0,0,6,6,2000,35,9,3
69,PRT,0,0,2,2,2000,0,0,0
71,IND,0,0,1,1,2000,66,4,0
71,ISR,0,0,1,1,2000,55,3,0
1,USA,36,39,26,101,2004,275,244,207
2,CHN,32,17,14,63,2004,274,133,111
4,AUS,17,16,17,50,2004,328,156,117
5,JPN,16,9,12,37,2004,243,122,49
6,DEU,13,16,20,49,2004,0,0,0
7,FRA,11,9,13,33,2004,306,112,43
8,ITA,10,11,11,32,2004,285,139,50
9,,9,12,9,30,2004,0,0,0
10,GBR,9,9,12,30,2004,237,73,50
12,HUN,8,6,3,17,2004,180,36,42
14,ROU,8,5,6,19,2004,75,63,55
15,GRC,6,6,4,16,2004,0,0,0
17,NOR,5,0,1,6,2004,46,9,5
18,NLD,4,9,9,22,2004,0,0,0
19,SWE,4,2,1,7,2004,105,39,13
21,CAN,3,6,3,12,2004,319,56,16
22,,3,3,4,10,2004,0,0,0
23,POL,3,2,5,10,2004,189,23,12
24,NZL,3,2,0,5,2004,160,14,10
27,AUT,2,4,1,7,2004,77,13,2
29,,2,2,2,6,2004,0,0,0
29,SVK,2,2,2,6,2004,67,12,5
31,,2,2,1,5,2004,0,0,0
32,GEO,2,2,0,4,2004,27,9,3
33,BGR,2,1,9,12,2004,0,0,0
34,DNK,2,1,5,8,2004,0,0,0
35,JAM,2,1,2,5,2004,32,19,11
37,MAR,2,1,0,3,2004,49,6,2
38,ARG,2,0,4,6,2004,117,45,17
40,KAZ,1,4,3,8,2004,109,18,3
41,KEN,1,4,2,7,2004,35,8,3
43,ZAF,1,3,2,6,2004,0,0,0
44,HRV,1,2,2,5,2004,0,0,0
46,CHE,1,1,3,5,2004,0,0,0
48,IDN,1,1,2,4,2004,0,0,0
50,AZE,1,0,4,5,2004,26,9,2
51,BEL,1,0,2,3,2004,54,16,0
52,ISR,1,0,1,2,2004,43,2,1
57,,0,4,1,5,2004,0,0,0
59,MEX,0,3,1,4,2004,117,16,4
60,PRT,0,2,1,3,2004,0,0,0
61,FIN,0,2,0,2,2004,58,9,0
65,IND,0,1,0,1,2004,73,8,0
68,COL,0,0,2,2,2004,64,4,3
1,CHN,48,22,30,100,2008,419,171,140
2,USA,36,39,37,112,2008,296,265,202
4,GBR,19,13,19,51,2008,258,93,69
5,DEU,16,11,14,41,2008,0,0,0
6,AUS,14,15,17,46,2008,323,135,112
7,,13,11,8,32,2008,0,0,0
8,JPN,9,8,8,25,2008,299,114,44
9,ITA,8,9,10,27,2008,306,108,45
10,FRA,7,16,20,43,2008,281,115,52
11,NLD,7,5,4,16,2008,0,0,0
13,KEN,6,4,6,16,2008,29,14,4
15,JAM,5,4,2,11,2008,32,17,17
16,POL,4,5,2,11,2008,263,39,14
18,ROU,4,1,4,9,2008,93,57,22
20,CAN,3,9,8,20,2008,354,76,19
21,HUN,3,5,2,10,2008,153,27,36
22,NOR,3,5,1,9,2008,71,16,15
26,SVK,3,3,0,6,2008,50,11,6
27,NZL,3,2,4,9,2008,164,23,14
28,GEO,3,2,2,7,2008,29,7,2
29,KAZ,2,3,4,9,2008,124,19,3
30,DNK,2,2,3,7,2008,0,0,0
31,,2,2,2,6,2008,0,0,0
34,CHE,2,1,4,7,2008,0,0,0
35,ARG,2,0,4,6,2008,88,41,16
36,MEX,2,0,2,4,2008,88,10,5
37,BEL,2,0,0,2,2008,95,16,1
40,AZE,1,1,4,6,2008,35,6,3
40,IDN,1,1,4,6,2008,0,0,0
42,BGR,1,1,3,5,2008,0,0,0
42,,1,1,3,5,2008,0,0,0
44,,1,1,2,4,2008,0,0,0
44,FIN,1,1,2,4,2008,58,12,0
47,PRT,1,1,0,2,2008,0,0,0
51,IND,1,0,2,3,2008,57,10,0
52,,1,0,1,2,2008,0,0,0
56,SWE,0,4,1,5,2008,122,34,13
59,HRV,0,2,3,5,2008,0,0,0
60,COL,0,2,1,3,2008,82,6,2
60,GRC,0,2,1,3,2008,0,0,0
64,AUT,0,1,2,3,2008,79,12,2
64,IRL,0,1,2,3,2008,58,5,0
68,MAR,0,1,1,2,2008,45,4,0
72,ZAF,0,1,0,1,2008,0,0,0
82,ISR,0,0,1,1,2008,56,4,0
1,USA,48,26,30,104,2012,287,189,213
2,CHN,39,31,22,92,2012,244,130,105
3,GBR,29,18,18,65,2012,458,125,101
5,,13,9,9,31,2012,0,0,0
6,DEU,11,20,13,44,2012,0,0,0
7,FRA,11,11,13,35,2012,254,115,57
8,AUS,8,15,12,35,2012,308,124,82
9,ITA,8,9,11,28,2012,238,96,48
10,HUN,8,4,6,18,2012,137,32,32
11,JPN,7,14,17,38,2012,244,108,47
12,,7,5,1,13,2012,0,0,0
13,NLD,6,6,8,20,2012,0,0,0
14,NZL,6,2,5,13,2012,161,28,15
18,JAM,4,5,4,13,2012,27,14,21
20,ZAF,4,1,1,6,2012,0,0,0
21,,4,0,2,6,2012,0,0,0
23,KAZ,3,2,6,11,2012,112,14,6
23,POL,3,2,6,11,2012,212,30,14
26,HRV,3,1,2,6,2012,0,0,0
27,CAN,2,6,10,18,2012,248,86,20
29,KEN,2,4,7,13,2012,29,16,6
30,DNK,2,4,3,9,2012,0,0,0
31,ROU,2,4,1,7,2012,104,35,16
32,AZE,2,2,5,9,2012,42,13,4
33,CHE,2,2,0,4,2012,0,0,0
34,NOR,2,1,1,4,2012,41,12,16
37,SWE,1,4,3,8,2012,114,42,12
38,COL,1,3,5,9,2012,110,7,3
39,MEX,1,3,4,8,2012,88,27,4
40,GEO,1,2,3,6,2012,23,9,4
41,IRL,1,1,4,6,2012,68,8,0
42,ARG,1,1,2,4,2012,101,39,8
46,,1,1,1,3,2012,0,0,0
48,,1,0,1,2,2012,0,0,0
57,IND,0,2,4,6,2012,80,15,0
60,BGR,0,2,1,3,2012,0,0,0
60,FIN,0,2,1,3,2012,60,8,1
60,IDN,0,2,1,3,2012,0,0,0
63,SVK,0,1,3,4,2012,53,7,5
64,BEL,0,1,2,3,2012,116,22,4
70,PRT,0,1,0,1,2012,0,0,0
77,GRC,0,0,2,2,2012,0,0,0
79,MAR,0,0,1,1,2012,65,2,0
1,USA,46,37,38,121,2016,324,192,203
2,GBR,27,23,17,67,2016,242,135,101
3,CHN,26,18,26,70,2016,300,130,69
5,DEU,17,10,15,42,2016,0,0,0
6,JPN,12,8,21,41,2016,310,72,54
7,FRA,10,18,14,42,2016,334,136,42
8,,9,3,9,21,2016,0,0,0
9,ITA,8,12,8,28,2016,262,107,30
10,AUS,8,11,10,29,2016,333,134,51
11,NLD,8,7,4,19,2016,0,0,0
12,HUN,8,3,4,15,2016,154,29,21
15,KEN,6,6,1,13,2016,63,10,7
16,JAM,6,3,2,11,2016,34,26,17
17,HRV,5,3,2,10,2016,0,0,0
19,NZL,4,9,5,18,2016,166,45,21
20,CAN,4,3,15,22,2016,275,94,36
22,COL,3,2,3,8,2016,144,10,3
23,CHE,3,2,2,7,2016,0,0,0
24,,3,1,4,8,2016,0,0,0
25,GRC,3,1,2,6,2016,0,0,0
26,ARG,3,1,0,4,2016,189,35,8
27,DNK,2,6,7,15,2016,0,0,0
28,SWE,2,6,3,11,2016,132,42,12
29,ZAF,2,6,2,10,2016,0,0,0
30,KAZ,2,5,10,17,2016,102,17,4
33,POL,2,3,6,11,2016,252,27,10
34,,2,3,2,7,2016,0,0,0
35,BEL,2,2,2,6,2016,105,29,4
37,SVK,2,2,0,4,2016,51,10,2
38,GEO,2,1,4,7,2016,34,5,6
39,AZE,1,7,10,18,2016,46,17,6
41,,1,3,4,8,2016,0,0,0
46,IDN,1,2,0,3,2016,0,0,0
47,ROU,1,1,2,4,2016,89,25,7
50,,1,0,2,3,2016,0,0,0
61,MEX,0,3,2,5,2016,123,13,3
63,IRL,0,2,0,2,2016,86,5,2
66,BGR,0,1,2,3,2016,0,0,0
67,IND,0,1,1,2,2016,118,12,0
74,NOR,0,0,4,4,2016,55,11,11
77,ISR,0,0,2,2,2016,54,5,0
78,AUT,0,0,1,1,2016,79,6,0
78,FIN,0,0,1,1,2016,60,7,0
78,MAR,0,0,1,1,2016,50,2,0
78,PRT,0,0,1,1,2016,0,0,0
1,USA,39,41,33,113,2020,361,310,185
2,CHN,38,32,19,89,2020,341,136,97
3,JPN,27,14,17,58,2020,559,156,72
4,GBR,22,20,22,64,2020,281,177,90
6,AUS,17,7,22,46,2020,410,146,82
7,NLD,10,12,14,36,2020,0,0,0
8,FRA,10,12,11,33,2020,316,158,64
9,DEU,10,11,16,37,2020,0,0,0
10,ITA,10,10,20,40,2020,342,128,54
11,CAN,7,7,10,24,2020,358,105,46
13,NZL,7,6,7,20,2020,186,63,30
15,HUN,6,7,7,20,2020,169,49,19
16,,6,4,10,20,2020,0,0,0
17,POL,4,5,5,14,2020,211,57,14
19,KEN,4,4,2,10,2020,74,11,4
20,NOR,4,2,2,8,2020,88,12,12
21,JAM,4,1,4,9,2020,49,25,13
23,SWE,3,6,0,9,2020,129,33,11
24,CHE,3,4,6,13,2020,0,0,0
25,DNK,3,4,4,11,2020,0,0,0
26,HRV,3,3,2,8,2020,0,0,0
27,,3,2,2,7,2020,0,0,0
29,BEL,3,1,3,7,2020,144,35,6
30,BGR,3,1,2,6,2020,0,0,0
33,GEO,2,5,1,8,2020,27,5,4
34,,2,4,6,12,2020,0,0,0
35,,2,2,9,13,2020,0,0,0
36,GRC,2,1,1,4,2020,0,0,0
39,IRL,2,0,2,4,2020,135,13,2
39,ISR,2,0,2,4,2020,102,24,2
46,ROU,1,3,0,4,2020,101,11,7
48,IND,1,2,4,7,2020,124,26,1
50,SVK,1,2,1,4,2020,45,11,0
52,ZAF,1,2,0,3,2020,0,0,0
53,AUT,1,1,5,7,2020,93,10,0
55,IDN,1,1,3,5,2020,0,0,0
56,PRT,1,1,2,4,2020,0,0,0
63,MAR,1,0,0,1,2020,49,0,2
66,COL,0,4,1,5,2020,70,7,0
67,AZE,0,3,4,7,2020,47,7,1
72,ARG,0,1,2,3,2020,162,45,1
83,KAZ,0,0,8,8,2020,106,8,2
84,MEX,0,0,4,4,2020,159,37,0
85,FIN,0,0,2,2,2020,46,3,0
1,USA,40,44,42,126,2024,372,286,196
2,CHN,40,27,24,91,2024,307,158,122
3,JPN,20,12,13,45,2024,422,114,62
4,AUS,18,19,16,53,2024,441,149,59
5,FRA,16,26,22,64,2024,519,214,68
6,NLD,15,7,12,34,2024,0,0,0
7,GBR,14,22,29,65,2024,252,207,74
8,,13,9,10,32,2024,0,0,0
9,ITA,12,13,15,40,2024,422,140,48
10,DEU,12,13,8,33,2024,0,0,0
11,NZL,10,7,3,20,2024,176,59,18
12,CAN,9,7,11,27,2024,417,85,36
14,HUN,6,7,6,19,2024,192,49,14
16,SWE,4,4,3,11,2024,143,21,9
17,KEN,4,2,5,11,2024,62,9,6
18,NOR,4,1,3,8,2024,99,16,13
19,IRL,4,0,3,7,2024,166,18,1
21,,3,6,3,12,2024,0,0,0
23,ROU,3,4,2,9,2024,111,23,10
24,GEO,3,3,1,7,2024,23,9,6
25,BEL,3,1,6,10,2024,213,22,5
26,BGR,3,1,3,7,2024,0,0,0
29,DNK,2,2,5,9,2024,0,0,0
30,AZE,2,2,3,7,2024,39,9,1
30,HRV,2,2,3,7,2024,0,0,0
35,,2,0,5,7,2024,0,0,0
36,AUT,2,0,3,5,2024,108,13,0
39,IDN,2,0,1,3,2024,0,0,0
41,ISR,1,5,1,7,2024,109,26,3
42,POL,1,4,5,10,2024,259,45,8
43,KAZ,1,3,3,7,2024,106,15,2
44,JAM,1,3,2,6,2024,60,17,4
44,ZAF,1,3,2,6,2024,0,0,0
48,CHE,1,2,5,8,2024,0,0,0
50,PRT,1,2,1,4,2024,0,0,0
51,GRC,1,1,6,8,2024,0,0,0
52,ARG,1,1,1,3,2024,118,36,0
60,MAR,1,0,1,2,2024,43,19,1
64,,0,3,5,8,2024,0,0,0
65,MEX,0,3,2,5,2024,139,16,0
66,COL,0,3,1,4,2024,94,11,0
68,,0,2,4,6,2024,0,0,0
71,IND,0,1,5,6,2024,112,25,1
84,SVK,0,0,1,1,2024,33,5,0
